club_id,season,goalkeeper_val,centre_back_val,full_back_val,def_mid_val,central_mid_val,winger_val,forward_val,points
16,2021,16958823.52941176,17149933.24432577,13129352.22672065,4666666.66670000,33097958.13263183,4905349.79423868,86170321.26466089,69
79,2013,,4150968.60387442,3453952.41749808,2554425.83733057,5138812.78538813,6000000.00000000,4084368.53003830,32
23,2013,1250000.00000000,2360729.02338377,1500000.00000000,1500000.00000000,1200000.00000000,,1088624.43122156,25
86,2018,11050095.31587121,4434725.64734895,7423155.91305836,2973854.93706497,18241318.71223259,7669334.71933472,7445088.27798322,53
39,2014,4221931.54564081,2483630.76922489,2177837.05140640,6525028.38758516,3192738.51331577,2808464.82577252,5808092.08711696,40
65,2012,1125000.00000000,1436844.53872053,1014609.33889374,1266518.61528359,2225138.69320183,802586.20689987,1070110.00183758,21
15,2012,8779411.76470588,7059377.08194003,6259892.77508297,9901015.68068425,8134777.51756440,17103519.30317564,11333008.02429034,65
27,2014,40228669.49983655,25667746.11398040,12898793.95524557,7822644.25072644,31672449.95805034,33461194.02984925,44429436.92088382,79
82,2016,2345588.23529412,7884139.74605263,10317860.23835987,10878847.41320535,8486110.60125488,11867267.94437269,7367202.24610368,37
33,2017,11174019.60781029,8183331.09348210,6026479.75077880,10940160.26640640,18799835.25534872,11252595.80894846,9055328.20095693,63
33,2018,6820252.88861422,15544996.87793645,4796920.96734660,11919583.33332628,10982564.47512857,8899286.25664934,10660996.11902513,33
86,2013,1000000.00000000,1650678.99451026,1377954.30672269,1672852.37698082,4094690.13237134,220000.00000000,3628616.35220126,39
44,2014,2843627.45098039,3750750.30012005,3161471.55244668,2125083.12549971,2179188.43164734,5033028.89309056,2285278.85859741,35
39,2017,888480.39216176,7459685.50199616,2968354.24133811,1650839.79328165,4482777.05190640,2221605.91653550,3474887.31487444,36
24,2017,7500000.00000000,3813695.00587489,5317103.48748042,3820414.84716638,5138096.50998469,7564222.53262128,9526847.32604945,49
42,2018,1286519.60781176,8458581.10097145,1971424.82058463,4429315.31531532,2914168.47043766,2944737.43142590,5802270.61556976,21
33,2022,865294.11764706,2461046.41760001,1804522.03515208,5510046.77648453,2954068.60789789,2474440.85892662,1526953.64239181,31
33,2013,1323529.41176471,9394282.44426752,5460789.91952567,1697890.06107718,8000000.00000000,22296448.99904671,8864838.39373164,64
3,2015,6805882.35294118,2695915.87318598,5492969.21847040,750000.00000000,3664663.58089044,3500000.00000000,3730521.28486596,43
167,2018,1594526.14379085,10197604.75411586,8752850.56147301,4311275.76533734,3463079.20475570,3221854.01777109,11259575.52271089,32
